"record_code","format_version","submission_date","reporting_agency","release_agency","coordinator","tag_code_or_release_id","tag_type","first_sequential_number","last_sequential_number","related_group_type","related_group_id","species","run","brood_year","first_release_date","last_release_date","release_location_code","hatchery_location_code","stock_location_code","release_stage","rearing_type","study_type","release_strategy","avg_weight","avg_length","study_integrity","cwt_1st_mark","cwt_1st_mark_count","cwt_2nd_mark","cwt_2nd_mark_count","non_cwt_1st_mark","non_cwt_1st_mark_count","non_cwt_2nd_mark","non_cwt_2nd_mark_count","counting_method","tag_loss_rate","tag_loss_days","tag_loss_sample_size","tag_reused","comments","release_location_name","hatchery_location_name","stock_location_name","release_location_state","release_location_rmis_region","release_location_rmis_basin","record_origin","tagged_adclipped","tagged_unclipped","untagged_adclipped","untagged_unclipped","untagged_unknown"
"T",4.2,20090310,"USFWS","USFWS",7,"54472",12,NA,NA,NA,NA,1,3,2007,20080429,20080501,"6FCSABAT CNFH","6FCSABAT CNFH","6FCSABAT CNFH","S","H","P","FR",4.73,76,"N",5000,346353,NA,NA,0,1040056,NA,NA,"C",0,21,874,"","Production","COLEMAN NFH","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","N",346353,0,0,1040056,0
"T",4.2,20140221,"USFWS","USFWS",7,"52796",12,NA,NA,NA,NA,1,7,2007,20071207,20071207,"6FCSASBF RYDE","6FCSABAT CNFH","6FCSABAT CNFH","S","H","B","FR",22.68,118,"N",5000,12151,NA,NA,5000,312,NA,NA,"C",0.025,57,200,"","Resubmited2.21.14Delta Study release group #1","SAC R AT RYDE KOKET","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","N",12151,0,312,0,0
"T",4.2,20140221,"USFWS","USFWS",7,"52799",12,NA,NA,NA,NA,1,7,2007,20071211,20071211,"6FCSUUSC PCHI","6FCSABAT CNFH","6FCSABAT CNFH","S","H","B","FR",20.62,115,"N",5000,10141,NA,NA,5000,2777,NA,NA,"C",0.215,56,200,"","Resubmited2.21.14Delta Study release group #1","PORT CHICAGO","COLEMAN NFH","COLEMAN NFH","CA","CECA","SFBA","N",10141,0,2777,0,0
"T",4.2,20140221,"USFWS","USFWS",7,"52994",12,NA,NA,NA,NA,1,7,2007,20080117,20080117,"6FCSJMOK GESL","6FCSABAT CNFH","6FCSABAT CNFH","S","H","B","FR",34.36,131,"N",5000,17236,NA,NA,5000,262,NA,NA,"C",0.015,84,200,"","Resubmited2.21.14Delta Study release group #2","MOK R GEORGIANNA SLOUGH","COLEMAN NFH","COLEMAN NFH","CA","SJOA","MOKE","N",17236,0,262,0,0
"T",4.2,20140221,"USFWS","USFWS",7,"53674",12,NA,NA,NA,NA,1,7,2007,20080118,20080118,"6FCSASBF RYDE","6FCSABAT CNFH","6FCSABAT CNFH","S","H","B","FR",26.84,125,"N",5000,11901,NA,NA,5000,896,NA,NA,"C",0.07,91,200,"","Resubmited2.21.14Delta Study release group #2","SAC R AT RYDE KOKET","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","N",11901,0,896,0,0
"T",4.2,20090310,"USFWS","USFWS",7,"53990",12,NA,NA,NA,NA,1,7,2007,20080102,20080102,"6FCSABAT CNFH","6FCSABAT CNFH","6FCSABAT CNFH","S","H","P","FR",20.43,124,"N",5000,89930,NA,NA,NA,NA,NA,NA,"C",NA,79,200,"","Production","COLEMAN NFH","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","N",89930,0,0,0,0
"T",4.2,20110204,"USFWS","USFWS",7,"501040905",15,NA,NA,NA,NA,1,3,2007,20080310,20080310,"6FCSASBF CLKG","6FCSABAT CNFH","6FCSABAT CNFH","P","H","B","FR",1.59,55,"N",5000,24055,0,125,5000,877,NA,NA,"C",0.035,27,200,"","Stockton release group","SAC R AT CLARKSBURG","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","N",24055,125,877,0,0
"T",4.2,20140221,"USFWS","USFWS",7,"54468",12,NA,NA,NA,NA,1,3,2007,20080429,20080501,"6FCSABAT CNFH","6FCSABAT CNFH","6FCSABAT CNFH","S","H","P","FR",5.03,75,"N",5000,226107,NA,NA,0,678787,NA,NA,"C",0,31,829,"","Resubmited2.21.14Production","COLEMAN NFH","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","N",226107,0,0,678787,0
"T",4.2,20140221,"USFWS","USFWS",7,"54471",12,NA,NA,NA,NA,1,3,2007,20080429,20080501,"6FCSABAT CNFH","6FCSABAT CNFH","6FCSABAT CNFH","S","H","P","FR",4.93,76,"N",5000,338491,NA,NA,5000,438,0,1017136,"C",0.0013,33,773,"","Resubmited2.21.14Production","COLEMAN NFH","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","N",338491,0,438,1017136,0
"T",4.2,20090310,"USFWS","USFWS",7,"54399",12,NA,NA,NA,NA,1,3,2007,20080429,20080501,"6FCSABAT CNFH","6FCSABAT CNFH","6FCSABAT CNFH","S","H","P","FR",2.87,64,"N",5000,110799,NA,NA,5000,263,0,333599,"C",0.0024,16,846,"","Production","COLEMAN NFH","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","N",110799,0,263,333599,0
