"record_code","format_version","submission_date","reporting_agency","release_agency","coordinator","tag_code_or_release_id","tag_type","first_sequential_number","last_sequential_number","related_group_type","related_group_id","species","run","brood_year","first_release_date","last_release_date","release_location_code","hatchery_location_code","stock_location_code","release_stage","rearing_type","study_type","release_strategy","avg_weight","avg_length","study_integrity","cwt_1st_mark","cwt_1st_mark_count","cwt_2nd_mark","cwt_2nd_mark_count","non_cwt_1st_mark","non_cwt_1st_mark_count","non_cwt_2nd_mark","non_cwt_2nd_mark_count","counting_method","tag_loss_rate","tag_loss_days","tag_loss_sample_size","tag_reused","comments","release_location_name","hatchery_location_name","stock_location_name","release_location_state","release_location_rmis_region","release_location_rmis_basin","record_origin","tagged_adclipped","tagged_unclipped","untagged_adclipped","untagged_unclipped","untagged_unknown","Total_Released","Phi"
"T",4.2,20090902,"CDFW","CDFW",8,"67001",12,NA,NA,NA,NA,1,3,2007,20080612,20080617,"6MOSFSPB NET","6FCSAAMN NBFH","6FCSAAMN","G","H","P","FR",7.19,NA,"N",5000,312228,NA,0,5000,1105,0,940460,"C",0.0035,23,851,"","Net pen release.","SAN PABLO BAY NET PENS","NIMBUS FISH HATCHERY","AMERICAN RIVER","CA","CECA","SFBA","N",312228,0,1105,940460,0,1253793,0.249026753220029
"T",4.2,20090902,"CDFW","CDFW",8,"68602",12,NA,NA,NA,NA,1,3,2007,20080521,20080606,"6MOSFSPB NET","6FCSAAMN NBFH","6FCSAAMN","V","H","P","FR",8.55,NA,"N",5000,444826,NA,0,0,1335029,NA,0,"C",0,21,852,"","Net pen release.","SAN PABLO BAY NET PENS","NIMBUS FISH HATCHERY","AMERICAN RIVER","CA","CECA","SFBA","N",444826,0,0,1335029,0,1779855,0.249922606054988
"T",4.2,20090902,"CDFW","CDFW",8,"68603",12,NA,NA,NA,NA,1,3,2007,20080606,20080616,"6MOSFSPB NET","6FCSAAMN NBFH","6FCSAAMN","V","H","P","FR",8.24,NA,"N",5000,461701,NA,0,5000,3303,0,1395855,"C",0.0071,20,845,"","Net pen release.","SAN PABLO BAY NET PENS","NIMBUS FISH HATCHERY","AMERICAN RIVER","CA","CECA","SFBA","N",461701,0,3303,1395855,0,1860859,0.248111759139193
"T",4.2,20190122,"CDFW","CDFW",8,"68640",12,NA,NA,NA,NA,1,3,2008,20090526,20090527,"6FCSAAMN","6FCSAAMN NBFH","6FCSAAMN","V","H","E","VO",8.09,NA,"N",5000,264006,0,2997,5000,2997,NA,0,"C",NA,21,900,"","Net v Amer. Snout Erosion noted","AMERICAN RIVER","NIMBUS FISH HATCHERY","AMERICAN RIVER","CA","SAFA","AMER","N",264006,2997,2997,0,0,270000,0.9778
"T",4.2,20100720,"CDFW","CDFW",8,"68623",12,NA,NA,NA,NA,1,3,2008,20090604,20090605,"6MOSFMAR NET","6FCSAAMN NBFH","6FCSAAMN","G","H","P","",6.76,NA,"N",5000,35062,0,20,5000,121,0,105907,"C",NA,21,878,"","Snout Erosion noted","MARE ISLAND NET PEN","NIMBUS FISH HATCHERY","AMERICAN RIVER","CA","CECA","SFBA","N",35062,20,121,105907,0,141110,0.248472822620651
"T",4.2,20100720,"CDFW","CDFW",8,"68638",12,NA,NA,NA,NA,1,3,2008,20090601,20090604,"6MOSFMAR NET","6FCSAAMN NBFH","6FCSAAMN","G","H","P","",7.31,NA,"N",5000,400048,NA,0,0,1201089,NA,0,"C",NA,21,752,"","Snout Erosion noted","MARE ISLAND NET PEN","NIMBUS FISH HATCHERY","AMERICAN RIVER","CA","CECA","SFBA","N",400048,0,0,1201089,0,1601137,0.249852448603711
"T",4.2,20100720,"CDFW","CDFW",8,"68651",12,NA,NA,NA,NA,1,3,2008,20090604,20090605,"6MOSFMAR NET","6FCSAAMN NBFH","6FCSAAMN","G","H","P","",6.76,NA,"N",5000,140649,NA,0,5000,1240,0,428423,"C",NA,16,920,"","Snout Erosion noted","MARE ISLAND NET PEN","NIMBUS FISH HATCHERY","AMERICAN RIVER","CA","CECA","SFBA","N",140649,0,1240,428423,0,570312,0.246617640870261
"T",4.2,20190122,"CDFW","CDFW",8,"68637",12,NA,NA,NA,NA,1,3,2008,20090526,20090601,"6MOSFMAR NET","6FCSAAMN NBFH","6FCSAAMN","V","H","B","FR",7.81,NA,"N",5000,401196,0,427,5000,1285,0,1209420,"C",NA,21,939,"","Net v Amer. Snout Erosion noted","MARE ISLAND NET PEN","NIMBUS FISH HATCHERY","AMERICAN RIVER","CA","CECA","SFBA","N",401196,427,1285,1209420,0,1612328,0.248830262824934
"T",4.2,20190122,"CDFW","CDFW",8,"68680",12,NA,NA,NA,NA,1,3,2009,20100607,20100607,"6MOSFMAR NET","6FCSAAMN NBFH","6FCSAAMN","G","H","B","FR",8.24,98,"N",5000,279383,NA,0,0,838649,NA,0,"C",NA,19,808,"","Net v Sunrise","MARE ISLAND NET PEN","NIMBUS FISH HATCHERY","AMERICAN RIVER","CA","CECA","SFBA","N",279383,0,0,838649,0,1118032,0.24988819640225
"T",4.2,20100723,"CDFW","CDFW",8,"68677",12,NA,NA,NA,NA,1,3,2009,20100510,20100510,"6FCSASBF DSPK","6FCSAAMN NBFH","6FCSAAMN","G","H","P","FR",7.95,96,"N",5000,389432,NA,0,5000,494,0,1182114,"C",NA,21,796,"","","SAC R AT DISCOVERY PARK","NIMBUS FISH HATCHERY","AMERICAN RIVER","CA","SAFA","SACR","N",389432,0,494,1182114,0,1572040,0.247723976489148
"T",4.2,20100723,"CDFW","CDFW",8,"68678",12,NA,NA,NA,NA,1,3,2009,20100510,20100510,"6FCSASBF DSPK","6FCSAAMN NBFH","6FCSAAMN","G","H","P","FR",7.08,96,"N",5000,343111,NA,0,5000,412,0,1031060,"C",NA,21,802,"","","SAC R AT DISCOVERY PARK","NIMBUS FISH HATCHERY","AMERICAN RIVER","CA","SAFA","SACR","N",343111,0,412,1031060,0,1374583,0.24961097292779
"T",4.2,20190122,"CDFW","CDFW",8,"68658",12,NA,NA,NA,NA,1,3,2009,20100608,20100608,"6MOSFMAR NET","6FCSAAMN NBFH","6FCSAAMN","G","H","B","FR",7.95,96,"N",5000,68144,NA,0,5000,253,0,205203,"C",NA,22,800,"","Net v Sunrise","MARE ISLAND NET PEN","NIMBUS FISH HATCHERY","AMERICAN RIVER","CA","CECA","SFBA","N",68144,0,253,205203,0,273600,0.24906432748538
"T",4.2,20190122,"CDFW","CDFW",8,"68679",12,NA,NA,NA,NA,1,3,2009,20100603,20100603,"6FCSAAMN SUN","6FCSAAMN NBFH","6FCSAAMN","G","H","E","FR",8.55,101,"N",5000,268016,NA,0,5000,2274,0,4224,"C",NA,21,845,"","Net v Sunrise","AMERICAN R AT SUNRISE","NIMBUS FISH HATCHERY","AMERICAN RIVER","CA","SAFA","AMER","N",268016,0,2274,4224,0,274514,0.976329076112694
