"Month","Age","mu","sd"
1,1,18.762989557926,3.27204351266241
2,1,18.762989557926,3.27204351266241
3,1,18.762989557926,3.27204351266241
4,1,18.762989557926,3.27204351266241
5,1,18.762989557926,3.27204351266241
6,1,18.762989557926,3.27204351266241
7,1,18.762989557926,3.27204351266241
8,1,18.762989557926,3.27204351266241
9,1,18.762989557926,3.27204351266241
10,1,18.762989557926,3.27204351266241
11,1,18.762989557926,3.27204351266241
12,1,18.762989557926,3.27204351266241
1,2,18.762989557926,3.27204351266241
2,2,18.762989557926,3.27204351266241
3,2,18.762989557926,3.27204351266241
4,2,18.762989557926,3.27204351266241
5,2,18.762989557926,3.27204351266241
6,2,22.1734145995922,2.25062880100544
7,2,22.8848525183588,2.39386206867075
8,2,24.27429967458,2.19181805353555
9,2,24.779725155196,2.09837617704043
10,2,23.8866947200208,2.12986267408749
11,2,24.8267623532774,1.94024806753583
12,2,25.9423658539493,1.98515660576944
1,3,27.0579693546212,2.03006514400304
2,3,28.1735728552932,2.07497368223665
3,3,29.2891763559651,2.11988222047025
4,3,28.8502283848462,2.15972816322209
5,3,29.5810859768786,2.29846642223494
6,3,30.2958921062674,2.76236664014461
7,3,31.4329880436792,2.70950760941244
8,3,31.8564580817688,2.80146793312711
9,3,31.8484574419909,2.53758647927982
10,3,31.8056202694096,2.77713928191761
11,3,32.1187245511265,2.7176438828428
12,3,32.4318288328435,2.658148483768
1,4,32.7449331145604,2.59865308469319
2,4,33.0580373962773,2.53915768561838
3,4,33.3711416779943,2.47966228654358
4,4,33.6842459597112,2.42016688746877
5,4,34.6813006275555,2.67425754334966
6,4,35.6276755372304,2.79537745473388
7,4,36.1293188444376,2.70596138073042
8,4,36.1709427135882,2.8664611846013
9,4,36.2249951275974,2.8049854828139
10,4,36.1411849800838,2.76052298357112
11,4,36.1411849800838,2.76052298357112
12,4,36.1411849800838,2.76052298357112
1,5,36.1411849800838,2.76052298357112
2,5,36.1411849800838,2.76052298357112
3,5,36.1411849800838,2.76052298357112
4,5,36.1411849800838,2.76052298357112
5,5,36.1411849800838,2.76052298357112
6,5,36.1411849800838,2.76052298357112
7,5,36.1411849800838,2.76052298357112
8,5,36.1411849800838,2.76052298357112
9,5,36.1411849800838,2.76052298357112
10,5,36.1411849800838,2.76052298357112
11,5,36.1411849800838,2.76052298357112
12,5,36.1411849800838,2.76052298357112
1,6,36.1411849800838,2.76052298357112
2,6,36.1411849800838,2.76052298357112
3,6,36.1411849800838,2.76052298357112
4,6,36.1411849800838,2.76052298357112
5,6,36.1411849800838,2.76052298357112
6,6,36.1411849800838,2.76052298357112
7,6,36.1411849800838,2.76052298357112
8,6,36.1411849800838,2.76052298357112
9,6,36.1411849800838,2.76052298357112
10,6,36.1411849800838,2.76052298357112
11,6,36.1411849800838,2.76052298357112
12,6,36.1411849800838,2.76052298357112
1,7,36.1411849800838,2.76052298357112
2,7,36.1411849800838,2.76052298357112
3,7,36.1411849800838,2.76052298357112
4,7,36.1411849800838,2.76052298357112
5,7,36.1411849800838,2.76052298357112
6,7,36.1411849800838,2.76052298357112
7,7,36.1411849800838,2.76052298357112
8,7,36.1411849800838,2.76052298357112
9,7,36.1411849800838,2.76052298357112
10,7,36.1411849800838,2.76052298357112
11,7,36.1411849800838,2.76052298357112
12,7,36.1411849800838,2.76052298357112
